k collected-at,search,store-id,store-address,store-name,product-name,product-score,product-price,product-unit,product-master-id,product-image,product-quantity
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café Gourmet Mogiana Paulista,100,17.89,gr,152328,70cdec01-057a-453f-9e13-036054b33d4b.jpg,250.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café a Vácuo Fort,100,14.89,gr,23555,20b5967b-3129-41d0-a009-08e9f76f387a.jpg,500.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café Extraforte,100,14.25,gr,150,e5c56528-e14c-411d-80e1-ee4fa27b59cb.jpg,500.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café Solúvel Granulado Tradicional,100,5.29,gr,1524898,38a82c57-1c4b-4f4f-8e54-a06094c07940.jpg,50.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café Extra Forte,100,10.59,gr,30069,f255f4f7-885c-4926-9928-0effbc267265.jpg,250.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café Tradicional a Vácuo,100,14.25,gr,454,678bcbef-95ab-40ff-8083-41e19e3f7e22.jpg,500.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900130443,"3970 AVENIDA REBOUÇAS, PINHEIROS, SÃO PAULO",carrefour-hiper-super-market,3 Corações Café em Capsulas Orgânico,80,22.29,und,11936,3b2a56ee-fe78-4437-b348-305128b9db66.jpg,10.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900574968,"R. Butantã, 9 ",turbo,3 Corações Café Gourmet Sul de Minas,100,13.77,gr,1401708,56b7c044-a647-4b94-a008-a72d0b415d6b.jpg,250.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900574968,"R. Butantã, 9 ",turbo,3 Corações Café em Cápsulas Espresso Atento,100,18.61,gr,1524548,a531c4fa-e45f-49ec-a87f-66f1182ba447.jpg,8.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900574968,"R. Butantã, 9 ",turbo,3 Corações Cappuccino Clássico,71,13.29,gr,1490582,1908962c-f77e-47b9-add2-988d47269fc2.jpg,200.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900648056,"Pacaembu - R. James Holland, 668 - Barra Funda, São Paulo - SP",atacadao,3 Corações Café com Leite Original,100,15.28,gr,2236829,a0ef08dd-e135-4629-a0de-742470887a45.png,300.0
2023-09-21 | 08:59:34,cafe 3 coracoes,900648056,"Pacaembu - R. James Holland, 668 - Barra Funda, São Paulo - SP",atacadao,3 Corações Café Torrado Moído Extra Forte,100,14.98,gr,1450518,3709b534-97d4-4f9a-8353-58943a565d65.jpg,500.0
